# curie_map:
#   panet: https://w3id.org/PaN/PaNET/1.3.0/PaNET#
#   panetsource: https://w3id.org/PaN/PaNET/1.3.0/
#   rdf: http://www.w3.org/1999/02/22-rdf-syntax-ns#
#   rdfs: http://www.w3.org/2000/01/rdf-schema#
#   skos: http://www.w3.org/2004/02/skos/core#
#   sssom: https://w3id.org/sssom/
#   iucr: https://chem.libretexts.org/Bookshelves/Inorganic_Chemistry/Online_Dictionary_of_Crystallography_(IUCr_Commission)/
#   iucrsource: https://dictionary.iucr.org/
#   orcid: https://orcid.org/
#   semapv: https://w3id.org/semapv/vocab/
# license: https://creativecommons.org/licenses/by/4.0/
# mapping_set_description: Manually curated alignment of the PaNET ontology with the IUCr dictionary.
#   Intended to be used for ontological analysis.
# mapping_set_id: https://github.com/pan-ontologies/PaNET/blob/master/mappings/mapping_IUCr.csv
# mapping_set_version: '2025-11-18'
# object_source: iucrsource:Main_Page
# subject_source: panetsource:PaNET.owl
# 
subject_id,subject_label,predicate_id,object_id,object_label,mapping_justification,author_id,object_source_version,mapping_date,confidence
panet:PaNET01049,resonant scattering,skos:narrowMatch,iucr:03:_X-rays/3.02:_Anomalous_absorption,anomalous absorption,semapv:ManualMappingCuration,orcid:0000-0002-5850-4469,,2025-10-28,1
panet:PaNET2012002,absorption,skos:narrowMatch,iucr:03:_X-rays/3.02:_Anomalous_absorption,anomalous absorption,semapv:ManualMappingCuration,orcid:0000-0002-5850-4469,,2025-10-28,1
panet:PaNET01049,resonant scattering,skos:exactMatch,iucr:03:_X-rays/3.04:_Anomalous_scattering,anomalous scattering,semapv:ManualMappingCuration,orcid:0000-0002-5850-4469,,2025-10-28,1
panet:PaNET01325,borrmann effect,skos:exactMatch,iucr:03:_X-rays/3.05:_Borrmann_Effect,Borrmann effect,semapv:ManualMappingCuration,orcid:0000-0002-5850-4469,,2025-10-28,1
panet:PaNET01049,resonant scattering,skos:exactMatch,iucr:03:_X-rays/3.24:_Resonant_scattering,resonant scattering,semapv:ManualMappingCuration,orcid:0000-0002-5850-4469,,2025-10-28,1
panet:PaNET01030,powder diffraction,skos:exactMatch,iucr:08:_Powder_Diffraction,powder diffraction,semapv:ManualMappingCuration,orcid:0000-0002-5850-4469,,2025-10-28,1
panet:PaNET2020009,X-ray,skos:exactMatch,iucr:03:_X-rays,X-rays,semapv:ManualMappingCuration,orcid:0000-0002-5850-4469,,2025-10-28,1
panet:PaNET01164,macromolecular crystallography,skos:closeMatch,iucr:10:_Biological_Crystallography,Biological Crystallography,semapv:ManualMappingCuration,orcid:0000-0002-5850-4469,,2025-10-28,1
panet:PaNET01165,multi wavelength anomalous diffraction,skos:exactMatch,iucr:10:_Biological_Crystallography/10.05:_Multiwavelength_anomalous_diffraction_(MAD),Multiwavelength anomalous diffraction (MAD),semapv:ManualMappingCuration,orcid:0000-0002-5850-4469,,2025-10-28,1
